Cluster Name,Median age,Present size,d_init50,d_init84,d_init97,L1_f,d_trunc50,d_trunc84,d_trunc97,L1_ftrunc,f_comp
CWNU_1031,144.4527020761081,15.573193350000002,0.3294422550115975,0.49669981749493386,0.8360608102825905,0.19033124629122,0.4755412388900622,0.9083794656796146,1.5977653169385313,0.1526955964602218,0.922176114635561
CWNU_1032,92.44780625412858,37.87334021,191.11275632477992,213.0427543345855,473.54312971254797,0.0629945019564087,197.61425621607967,320.8592777704486,500.5130380483474,0.0574844267813356,0.9946462890783432
CWNU_1034,27.489737957171247,24.440404319999995,14.079243881122732,44.136021890412366,87.85464333054239,0.2057759273874185,76.69078286069514,166.1369954006476,760.3643734762998,0.1309778647217452,0.8084446663177621
CWNU_1053,151.1996027028734,28.7436862,0.37599716237278547,1.4394592400487614,2.7257632779937078,0.1909557155511382,19.939381847866343,44.035710310656086,54.840300011496176,0.1126593959850322,0.9528379021432031
CWNU_1054,120.9126807499419,18.89825913,0.9193627826897829,2.0742588159796043,3.4846522718967945,0.1229907960835038,2.436298872033295,4.731205630202651,7.804198901695153,0.1359059762675455,0.9787050999721834
CWNU_1055,16.501080006401033,20.45345742,2.724459415858406,3.8318430468153446,9.30523814334704,0.1004444950451673,2.885022061838289,4.502145191961833,9.076777267989263,0.1171100635409031,0.9641455601548069
CWNU_1057,15.737151291657492,33.12977052,500.84931013848507,633.7346940709223,742.8942967815459,0.1294294116969471,547.9094827479511,627.0007114488606,763.3580142201696,0.1552478781007209,0.9566554838409577
CWNU_1062,23.844710279962616,23.10633822,1.7250501814760777,2.679510144254774,30.005493722420955,0.22887286643085,48.32987778068087,151.18253701381212,735.6277729964045,0.1186846857310831,0.8489114128015034
CWNU_1066,93.21775297441955,29.2282444,578.8124247915429,962.576519720971,994.0580804818952,0.0899726106029453,598.116548795277,964.331487153824,994.3410448733396,0.0903275993142401,0.9987275458870167
CWNU_1069,16.317312463241123,27.68453352,47.61848745799399,118.65370165887815,668.1117399123374,0.0785667353489042,25.00991953000078,49.77251413079276,677.4501337484887,0.0771293559052133,0.972540067482328
CWNU_1072,13.08789885332854,15.27909459,4.101176290734022,22.83353845123751,183.28259848003654,0.0813640135751275,7.460026026576142,22.324935543395487,193.0344547648557,0.1220590942696031,0.9031844080975213
CWNU_1076,110.82048334267083,40.81534508,0.23515041834695571,0.37566733139048464,0.5567614195240529,0.2724167923782761,0.2677217369868113,0.47636649995928365,0.7694615153223647,0.2177732436049929,0.8767015670715957
CWNU_1083,7.6706327438108595,19.40308988,31.751584538514056,119.62928152278799,821.1241106873694,0.0921448185393933,29.729716383915555,125.30651083219631,877.0064879856345,0.0940846191399311,0.9459295455381664
CWNU_1092,18.87802817811983,11.220570870000001,102.7569523768155,225.49138521649883,734.6056184232136,0.1122903223558249,111.2549813067651,357.8738793239195,868.0260127238141,0.1334710995572135,0.9773961443736512
CWNU_1111,21.54819911659939,14.347734460000002,174.60733109743913,368.34431529043746,770.2830943052796,0.1089949577719014,407.7372246406208,721.249978642467,937.8946498846523,0.092316238444939,0.934964453414815
CWNU_1121,55.0050976480216,60.3179053,0.2443644917904364,0.4289675451427433,1.122530165720918,0.1099155736311532,0.36939723522439877,0.7704682103512447,1.72287727014961,0.1046609992707071,0.9548861810166818
CWNU_1129,15.032246543367494,21.69637658,16.4619472882785,38.979346663125924,133.21671235087283,0.0724449551279199,7.508984926814907,24.448259941274745,135.21087473457004,0.0952105865344737,0.9640375550082639
